,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5341,The Arcs,"Yours, Dreamily,",Chains of Love,1Qf2f55yIV8bMxWmEpJoTb,0.656,0.602,9,-8.11,0,0.0301,0.111,7.28e-05,0.112,0.721,105.874,191213,4,14.0
5342,Looking Glass,Looking Glass,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,186827,4,17.0
5343,VNV Nation,Judgement,Illusion,3PqG25cnEC8xQdsO0SkzQF,0.457,0.434,7,-10.445,1,0.0366,0.0839,0.00552,0.123,0.0822,180.145,286960,4,1.0
5344,Tennessee Ernie Ford,Vintage Collections,Sixteen Tons,3P6OwCX7Ofiaaqtvujb6i5,0.693,0.324,11,-15.085,1,0.205,0.796,0,0.246,0.382,144.14,158307,4,16.0
5345,Death Grips,The Money Store,I've Seen Footage,7nCONy10IHp7XD3oYZ0lcx,0.603,0.944,11,-3.626,0,0.347,0.0481,0,0.342,0.418,130.035,202853,4,0.0
5346,Death Grips,Guillotine - Single,Guillotine,3IrcvqIf3ZiBhf3xdsctRX,0.561,0.64,11,-5.042,0,0.287,0.0678,0.000387,0.148,0.196,78.464,223364,4,0.0
5347,Neck Deep,The Peace And The Panic,Don't Wait (ft. Sam Carter),2ClpbVJnjvYLpYqYhSnEkL,0.392,0.988,1,-3.166,0,0.164,0.000119,0,0.3,0.333,199.902,196849,4,4.0
5348,Blur,Blur (Special Edition),Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,121160,4,8.0
5349,Citizen King,Mobile Estates,Better Days (And the Bottom Drops Out),460Wn6Dq2uMviG5nPXtPnb,0.758,0.896,9,-3.311,1,0.0501,0.173,3.18e-05,0.136,0.797,94.911,207027,4,8.0
5350,Death Grips,No Love Deep Web,No Love,5fDj1YVNR04RtQNP4iYapO,0.547,0.884,8,-1.452,1,0.366,0.0221,1.33e-06,0.0662,0.608,146.75,303693,3,0.0
5351,Wilco,Yankee Hotel Foxtrot,"Jesus, Etc.",4wd09wCccmxUB7XVJp0RNn,0.756,0.28,5,-14.27,1,0.0296,0.616,0.00033,0.414,0.695,109.413,231000,4,16.0
5352,KC & The Sunshine Band,The Complete TK Albums,Keep It Comin' Love,34LFM2eszfapI1ExzZmt3Y,0.773,0.721,3,-12.574,1,0.0294,0.232,1.61e-05,0.0349,0.971,110.383,271493,4,3.0
5353,Oingo Boingo,Dead Man's Party,Just Another Day,6w6I3AFRv7tQMmUTgAghUB,0.568,0.771,9,-10.715,1,0.0399,0.0817,2.11e-05,0.329,0.805,134.099,312467,4,8.0
5354,Owl City,All Things Bright And Beautiful,Kamikaze,0itukawLeprDug8JgB2kkd,0.596,0.865,0,-5.722,0,0.0452,0.0139,0.00311,0.0908,0.268,115.004,207733,4,17.0
5355,Lacuna Coil,Delirium,Delirium,7q9si83DQmdTuT7zfuus7f,0.429,0.917,11,-2.438,1,0.0383,3.78e-06,0.000874,0.106,0.261,97.963,196080,4,19.0
